Sport,Year,Manufacturer,Athlete,Number,Description,Grade,Certification No.,Purchase Date,Purchase From,Purchase Price,Sold Date,Sold Price,Sold Payment Received,Expenses Shipping,Expenses Grading,Expenses Fees,Profit,ROI
,1998-99,Skybox E-X,Larry Hughes,90,Rookie,,,4/15/2024,eBay,$1.91,,,,,,,,
,2021-22,Prizm,Austin Reaves,165,Rookie Purple wave,,,4/16/2024,eBay,$27.05,,,,,,,,
,2018-19,Topps WWE,Ronda Rousey,101,Rookie,9,,4/16/2024,eBay,$20.33,,,,,,,,
,2002-03,Upper Deck,Phil Mickelson,41,Rookie,,,4/16/2024,eBay,$16.13,,,,,,,,
,1998-99,Topps Finest,Mike Bibby,227,Rookie,9,,4/16/2024,eBay,$8.92,,,,,,,,
Basketball,1993-94,Fleer,Bill Wellington,,Auto,,,4/17/2024,eBay,$9.36,,,,,,,,
,2000-01,Merlin Premier League,Manchester United,281,Team badge sticker,,,4/17/2024,eBay,$6.31,,,,,,,,
,2013-14,SP Authentic,Rory McElroy,R1,Rookie,,,4/17/2024,eBay,$15.10,3/21/25,68.56,,,20,,33.46,0.9533
Soccer,1994-95,Upper Deck World Cup,Roy Keane,165,Rookie,,,4/17/2024,eBay,$1.72,,,,,,,,
Basketball,1994-95,Topps Finest,Jason Kidd,286,,9,,4/17/2024,eBay,$15.26,,,,,,,,
,2023-24,Prizm,David Beckham,19,Groovy,,,4/17/2024,eBay,$115.99,,,,,,,,
,2021-22,Donruss,Alex Rodriguez,UNL23,Unleashed Gold /99,,,4/19/2024,eBay,$13.71,,,,,,,,
Basketball,1989-90,NBA Hoops,Steve Kerr,351,Rookie,,,4/20/2024,eBay,$2.17,,,,,,,,
Soccer,1993-94,Upper Deck World Cup,Luis Figo,137,Rookie,,,4/21/2024,eBay,$26.30,,,,,,,,
,1999,Futera Fans Selection,Manchester United,Lot,Hot shots chrome,,,4/23/2024,eBay,$85.85,,,,,,,,
,Multiple,Futera Fans Selection,Manchester United,Lot,,,,4/23/2024,eBay,$250.82,,,,,,,,
Basketball,1994-95,Topps Finest,Grant Hill,240,Rookie,9,,4/23/2024,eBay,$16.34,,,,,,,,
,2022-23,Panini Select,Dwight Yorke,,Pitchside Auto,,,4/25/2024,eBay,$15.42,,,,,,,,
,1998-99,Futera Fans Selection,Multiple,,Foil World Cup,,,4/25/2024,eBay,$11.69,,,,,,,,
Soccer,1994-95,Upper Deck,Ryan Giggs,282,,,,4/26/2024,eBay,$2.28,,,,,,,,
Soccer,1994-95,Upper Deck World Cup,Bebeto,75,,,,5/3/2024,eBay,$2.44,,,,,,,,
,2014-15,Prizm,Cristiano Ronaldo,161,,9,,5/3/2024,eBay,$31.60,1/15/25,34,,,,,2.40,0.0759
